108781.1.permissive	79	Clade Ⅰ
1214.4.permissive	75	Clade Ⅰ
2904.6.permissive	77	Clade Ⅰ
338608.4.strict	77	Clade Ⅰ
339806.2.strict	74	Clade Ⅰ
344501.5.strict	77	Clade Ⅰ
345206.4.strict	73	Clade Ⅰ
347004.6.strict	74	Clade Ⅰ
347512.5.permissive	79	Clade Ⅰ
351906.2.orig	62	Clade Ⅱ
352007.6.orig	79	Clade Ⅰ
363203.1.permissive	78	Clade Ⅰ
363311.12.strict	72	Clade Ⅰ
364506.1.strict	78	Clade Ⅰ
380313.8.strict	63	Clade Ⅰ
382109.4.strict	76	Clade Ⅰ
385604.12.permissive	77	Clade Ⅰ
5192.4.permissive	76	Clade Ⅰ
5324.1.strict	79	Clade Ⅰ
5801.3.orig	73	Clade Ⅱ
5808.2.permissive	70	Clade Ⅰ
5809.3.strict	71	Clade Ⅰ
5811.4.strict	74	Clade Ⅰ
5815.4.strict	77	Clade Ⅰ
5820.2.permissive	74	Clade Ⅱ
5822.6.permissive	73	Clade Ⅰ
5823.3.strict	66	Clade Ⅰ
5824.2.permissive	74	Clade Ⅰ
5825.5.strict	73	Clade Ⅰ
5828.4.permissive	75	Clade Ⅱ
5829.3.permissive	74	Clade Ⅱ
5830.3.permissive	67	Clade Ⅰ
5834.5.permissive	72	Clade Ⅰ
5847.3.permissive	71	Clade Ⅱ
5850.5.permissive	75	Clade Ⅰ
5852.5.strict	74	Clade Ⅱ
5855.4.strict	75	Clade Ⅰ
5857.3.permissive	77	Clade Ⅱ
5858.2.strict	75	Clade Ⅰ
5859.2.permissive	69	Clade Ⅰ
5874.4.strict	73	Clade Ⅱ
5877.8.strict	74	Clade Ⅰ
5886.8.permissive	71	Clade Ⅱ
5891.6.strict	73	Clade Ⅰ
5894.2.permissive	75	Clade Ⅱ
5899.5.permissive	74	Clade Ⅰ
5903.6.permissive	75	Clade Ⅱ
5904.4.strict	73	Clade Ⅰ
5927.3.permissive	75	Clade Ⅱ
5938.2.orig	72	Clade Ⅰ
5953.12.permissive	66	Clade Ⅰ
5955.9.strict	76	Clade Ⅰ
5956.2.strict	74	Clade Ⅰ
5962.10.strict	72	Clade Ⅰ
5965.1.orig	71	Clade Ⅰ
5969.2.strict	73	Clade Ⅱ
5976.5.strict	74	Clade Ⅰ
5993.3.strict	75	Clade Ⅰ
5995.3.permissive	73	Clade Ⅰ
6001.2.permissive	72	Clade Ⅰ
6007.2.permissive	75	Clade Ⅱ
6013.2.permissive	74	Clade Ⅱ
6016.3.permissive	69	Clade Ⅰ
6020.4.permissive	72	Clade Ⅰ
6022.1.strict	74	Clade Ⅰ
6024.7.orig	72	Clade Ⅰ
6029.12.permissive	76	Clade Ⅰ
6030.16.permissive	75	Clade Ⅱ
6039.7.orig	75	Clade Ⅰ
6041.1.permissive	76	Clade Ⅱ
6044.9.strict	74	Clade Ⅱ
6045.6.permissive	75	Clade Ⅰ
6049.4.permissive	71	Clade Ⅱ
6051.3.permissive	70	Clade Ⅰ
6052.3.permissive	59	Clade Ⅰ
6056.5.permissive	76	Clade Ⅰ
6057.4.permissive	73	Clade Ⅰ
6061.7.strict	71	Clade Ⅰ
6065.4.permissive	73	Clade Ⅰ
6068.2.orig	78	Clade Ⅰ
6073.1.permissive	73	Clade Ⅰ
6078.5.orig	68	Clade Ⅰ
6081.6.permissive	74	Clade Ⅰ
6082.3.permissive	70	Clade Ⅰ
6084.3.strict	76	Clade Ⅱ
6086.8.permissive	75	Clade Ⅰ
6087.8.permissive	73	Clade Ⅰ
6089.4.permissive	73	Clade Ⅱ
6091.3.orig	53	Clade Ⅱ
6093.6.permissive	69	Clade Ⅰ
6107.1.permissive	75	Clade Ⅰ
6115.4.permissive	75	Clade Ⅰ
6119.5.strict	75	Clade Ⅱ
6125.1.permissive	69	Clade Ⅱ
6127.5.strict	76	Clade Ⅱ
